11,New York,The High Line,10014,"Between 10th and 12th Avenues, New York City, NY 10014",212 206-9922,http://www.thehighline.org,info@thehighline.org,Sun - Sat 7:00 am - 10:00 pm,More than 3 hours,No,,The High Line is an elevated railway transformed into a public park on Manhattan's West Side. ,"The park features lush horticulture, artworks, seasonal food vendors, community programing, and unique views of the Hudson River and New York City skyline. ","The High Line runs between Gansevoort Street to West 34th Street, between 10th and 11th Avenues.","The High Line is an elevated railway transformed into a public park on Manhattan's West Side. The park features lush horticulture, artworks, seasonal food vendors, community programing, and unique views of the Hudson River and New York City skyline. The High Line runs between Gansevoort Street to West 34th Street, between 10th and 11th Avenues.",http://upload.wikimedia.org/wikipedia/en/1/1d/High_Line_20th_Street_looking_downtown.jpg,40.748333,-74.005
12,New York,Grand Central Terminal,10017,"42nd Street and Park Avenue, New York City, NY 10017",212-340-2583,http://www.grandcentralterminal.com,info@grandcentralterminal.com,Sun - Sat 5:30 am - 2:00 am,,,"Group tours/walking tour, Dining, Shopping","Opened in 1913, and one of America's busiest terminals."," Grand Central boasts a wide array of shops and restaurants to serve the more than 500,000 travelers who pass through every day.", Consists of shops and restaurants.,"Opened in 1913, and one of America's busiest terminals, Grand Central boasts a wide array of shops and restaurants to serve the more than 500,000 travelers who pass through every day.",http://upload.wikimedia.org/wikipedia/commons/7/73/Grand_Central_Station_Main_Concourse_Jan_2006.jpg,40.7528,-73.976522
13,New York,Radio City Music Hall,10020,"1260 6th Avenue (Avenue of the Americas), (between 50th and 51st Streets), New York City, NY 10020",212-247-4777,http://www.radiocity.com,feedback@radiocity.com,,2-3 hours,,Arts and crafts,The art deco theater that is home of the famous dancing Rockettes.,The art deco theater that is home of the famous dancing Rockettes.,The art deco theater that is home of the famous dancing Rockettes.,The art deco theater that is home of the famous dancing Rockettes.,http://upload.wikimedia.org/wikipedia/commons/c/cf/Radio_City_Music_Hall_Panorama.jpg,40.759722,-73.979167
9,New York,Lincoln Center,10023,"The David RubenStein Atrium, Broadway & 64th Street - main entrance, New York City, NY 10023",212-875-5350,http://lc.lincolncenter.org,tour_desk@lincolncenter.org,,,,,"Learn more about Lincoln Center¡¯s iconic landmarks¡ªincluding the Revson Fountain, the newly transformed Alice Tully Hall, and the Metropolitan Opera House!","Go behind the scenes at venues where a spectacular range of artists have performed, including Luciano Pavarotti, Mikhail Baryshnikov, Leonard Bernstein, Ren¨¦e Fleming, and Bruce Springsteen.Each tour is unique, and you never know what might happen.","You might sit in on a rehearsal, walk out onto a stage, or meet a star!Whether you¡¯re just visiting New York City and want a glimpse of performing arts history, or you¡¯re a Lincoln Center regular who wants to see your favorite venues from a new perspective, a guided tour will bring you closer to the world¡¯s premier performing arts center.","Learn more about Lincoln Center¡¯s iconic landmarks¡ªincluding the Revson Fountain, the newly transformed Alice Tully Hall, and the Metropolitan Opera House!Go behind the scenes at venues where a spectacular range of artists have performed, including Luciano Pavarotti, Mikhail Baryshnikov, Leonard Bernstein, Ren¨¦e Fleming, and Bruce Springsteen.Each tour is unique, and you never know what might happen. You might sit in on a rehearsal, walk out onto a stage, or meet a star!Whether you¡¯re just visiting New York City and want a glimpse of performing arts history, or you¡¯re a Lincoln Center regular who wants to see your favorite venues from a new perspective, a guided tour will bring you closer to the world¡¯s premier performing arts center.",http://upload.wikimedia.org/wikipedia/commons/d/d3/Lincoln_Center_Twilight.jpg,40.772311,-73.983403
15,New York,The Cloisters,10040,"Fort Tryon Park, New York City, NY 10040",212 923 3700,http://www.metmuseum.org/visit/visit-the-cloisters,cloisters@metmuseum.org,Sun - Sat 10:00 am - 4:45 pm,More than 3 hours,Yes,,Branch of the Metropolitan Museum of Art that was constructed out of sections of French medieval monasteries.,"It offers an extensive collection of statues, paintings, stained glass windows and tapestries.","Statues, paintings, stained glass windows and tapestries.","Branch of the Metropolitan Museum of Art that was constructed out of sections of French medieval monasteries, offers an extensive collection of statues, paintings, stained glass windows and tapestries.",http://upload.wikimedia.org/wikipedia/commons/9/9d/The_Cloisters_Hudson_River_crop.jpg,40.86484,-73.931905
16,New York,New York Public Library,10018,"476 5th Ave New York, NY 10018, New York City, NY 10018",212 930 0800,http://www.nypl.org,nyplweb@nypl.org,Sun 1:00 pm - 5:00 pm; Mon 10:00 am - 6:00 pm; Tue - Wed 10:00 am - 8:00 pm; Thu - Sat 10:00 am - 6:00 pm,,,Shopping,Two marble lions mark the entrance to this Beaux Arts masterpiece.,Two marble lions mark the entrance to this Beaux Arts masterpiece., a National Historic Landmark containing more than six million books.,"Two marble lions mark the entrance to this Beaux Arts masterpiece, a National Historic Landmark containing more than six million books.",http://upload.wikimedia.org/wikipedia/commons/5/5b/New_York_Public_Library_May_2011.JPG,40.7527,-73.9818
17,New York,Rockefeller Center,10111,"45 Rockefeller Plaza, New York City, NY 10111",212-332-6868,http://www.rockefellercenter.com,,,1-2 hours,No,Ice skating,"This complex is famous for its ice rink and the GE building, headquarters of the Peacock network.","This complex is famous for its ice rink and the GE building, headquarters of the Peacock network.","This complex is famous for its ice rink and the GE building, headquarters of the Peacock network.","This complex is famous for its ice rink and the GE building, headquarters of the Peacock network.",http://upload.wikimedia.org/wikipedia/commons/1/11/Rockefeller_Center_%282006%29.JPG,40.758611,-73.979167
18,New York,Madison Square Garden,10001,"4 Penn Plaza, New York City, NY 10001",(212) 465-6741,,,,,,,,,,,http://upload.wikimedia.org/wikipedia/commons/d/d6/Britney_Spears_MSG.jpg,40.750556,-73.993611
6,New York,Statue of Liberty,10004,"Liberty Island, New York City, NY 10004",+1 212-363-3200,go.nps.gov/statueofliberty,,Sun - Sat 8:30 am - 4:00 pm,More than 3 hours,Yes,Group tours/city tour,"The Statue of Liberty was dedicated on October 28, 1886, designated as a National Monument in 1924 and restored for her centennial on July 4, 1986.",The Statue of Liberty Enlightening the World was a gift of friendship from the people of France to the people of the United States.,It is a universal symbol of freedom and democracy. ,"The Statue of Liberty Enlightening the World was a gift of friendship from the people of France to the people of the United States and is a universal symbol of freedom and democracy. The Statue of Liberty was dedicated on October 28, 1886, designated as a National Monument in 1924 and restored for her centennial on July 4, 1986.",http://upload.wikimedia.org/wikipedia/commons/a/a1/Statue_of_Liberty_7.jpg,40.689167,-74.044444
20,New York,Washington Square Park,10001,"West 4th Street, Greenwich Village, New York City, NY 10001",,,,Mon - Fri 9:00 am - 5:00 pm,,,,"A 9.75-acre city park in Greenwich Village, characterized by its large, central fountain, and known as a major center of community activity for the neighborhood residents.","A 9.75-acre city park in Greenwich Village, characterized by its large, central fountain, and known as a major center of community activity for the neighborhood residents.","It is characterized by its large, central fountain.",It is known as a major center of community activity for the neighborhood residents.,http://upload.wikimedia.org/wikipedia/commons/4/4e/Washington_Square_Arch_by_David_Shankbone.jpg,40.730833,-73.9975
